"Description","Reaction","Enzymes","Disease Name"
"RNA editing in GluR-B is essential for brain development to avoid the alteration of calcium permeability which affects mice seizure and survival","A:I","ADARB1","Severe epilepsy"
"RNA editing increases and neutralizes a key inhibitor of the polyamine synthesis pathway, thereby promoting proliferation in vitro and increasing tumor initiation and is asscoaited with liver cirrhosis","A:I","ADARB1","Hepatocellular carcinoma"
"RNA editing inhibits the enzymatic activity of TPH2 splice variants","C:U","ADARB1","Psychiatric disorders"
"RNA editing inhibits the enzymatic activity of TPH2 splice variants","A:I","ADARB1","Depression disorder"
"RNA editing inhibits the enzymatic activity of TPH2 splice variants","C:U","ADARB1","Depression disorder"
"RNA editing inhibits the enzymatic activity of TPH2 splice variants","A:I","ADARB1","Depression disorder"
"RNA editing inhibits the enzymatic activity of TPH2 splice variants","C:U","ADARB1","Depression disorder"
"RNA editing of A3A induces changes in WT1 mRNA which correspond to driver cancer mutations suggests a potential role for this novel modification in cancer mutagenesis","C:U","APOBEC3A","Wilms tumor and"
"RNA editing of A3A induces changes in WT1 mRNA which correspond to driver cancer mutations suggests a potential role for this novel modification in cancer mutagenesis","C:U","APOBEC3A","Acute Myeloid Leukemia"
"RNA editing on ARPIN promotes the disease risk and is closely associated with type 2 Diabetes","A:I","ADARB1","Type 2 Diabetes"
"RNA editing repairs the PINK1 W437amber mutation rescue the PINK1/Parkin-mediated mitophagy","A:I","ADARB1","Parkinson"
"RNA ‐editing of Filamin A pre‐mRNA is decreased in human cardiac disease","A:I","ADARB1","Cardiac Disease"
"RNA-editing enzyme ADAR2 occurs in the majority of ALS cases and causes the death of motor neurons","A:I","ADARB1","Amiothrophic Lateral Sclerosis"
"rs12936694 from the m6A demethylase gene ALKBH5 showed allelic and genotypic association to major depressive disorder","A:m6A","ALKBH5","Major depressive disorder"
"Significant increase in m5C in circulating tumor cells of lung cancer.","C:m5C","","Lung cancer"
"Snail, a key transcription factor of EMT, has an increased m6A methylation in its CDS and 3′UTR regions, through METTL3. m6A in CDS of Snail can trigger its translation elongation via interaction with YTHDF1 and eEF-2.","A:m6A","METTL3","Hepatocellular carcinoma"
"Splicing mutations affecting either the SH2 or PTPase domain of SHP-1 in motheaten and viable motheaten mice lead to multiple hematopoietic abnormalities, including the overexpansion and accumulation of myelomonocytic populations","A:I","ADARB1","Acute Myeloid Leukemia"
"Structural brain atrophy in carriers of the FTO risk allele (SNP rs9939609) is identified in healthy elderly subjects . Those carrying at least one copy of the risk allele showed brain tissue deficits in the frontal and the occipital lobes, areas that are also associated with volume reductions in subjects with higher BMI.","A:m6A","FTO","Brain atrophy"
"The association between MPM and asbestos exposure is established but the mechanism is unclear. It was proposed that asbestos causes DNA damage by inducing DNA alkylation and methylation. Thus, methylation could be at the bases of the MPM onset and the characterized FTO rs9939609 polymorphism which alters its expression level, may play a role in asbestos-induced methylation and carcinogenesis","A:m6A","FTO","Malignant pleural mesothelioma"
"The editing of FLNB is responsible for the ADAR-induced malignant phenotypes during ESCC progression","A:I","ADARB1","Hepatocellular carcinoma"
"The genes related to migration and cytoskeleton are the target of m1A modification. This epigenetic chaneg cause poor overall survival.","A:m1A","ALKBH3","Hodgkin lymphoma"
"The increased m6A methylation level (by METTL3) induces a RP11 accumulation in the nucleus and on chromatin. RP11 increased expression downregulates Siah1 and Fbxo45 and mediates the RP11-induced stabilization of Zeb1 which is fondamental to trigger CRC cells migration, invasion and EMT both in vitro and in vivo.","A:m6A","METTL3","Colorectal cancer"
"The increased m6A methylation level in SOX2 transcripts increases SOX2 expression and promotes CRC cells stemness and metastasis. METTL3 is highly expressed in CRC patients, and it induces an increased m6A methylation level in SOX2 transcripts. Methylated SOX2 mRNAs are subsequently recognized by the m6A “reader”, IGF2BP2, which maintains the mRNA stability and expression. Finally, the increased SOX2 expression, through SOX2 downstream targets,npromotes CRC cell stemness and metastasis, leading to CRC progression.","A:m6A","METTL3","Colorectal cancer"
"The increased m6A methylation level, in melanoma-promoting genes, PD-1 (PDCD1), CXCR4, and SOX10, promotes melanoma cells proliferation, migration and invasion in vitro and melanoma tumor growth in vivo. FTO was found to be upregulated in melanoma, suggesting a protumorigenic role. FTO higher expression is induced by metabolic stress and starvation. It was found that PD-1 (PDCD1), CXCR4, and SOX10 are regulated by FTO-mediated demethylation which blocks the YTHDF2-induced mRNA decay (tumor suppressor). Furthermore, FTO-mediated demethylation plays an important role in therapeutic resistance to anti-PD-1 immunotherapy and cell killing by IFNγ","A:m6A","FTO","Melanoma"
"The m1A distributions in cancer and adjacent tissue showed a noticable difference. Additionally, HGGAGRA and WGGANGA were found as the motifs that have significantly enriched.","A:m1A","","Colorectal cancer"
"The m5A distributions in cancer and adjacent tissues showed a noticable difference.","C:m5C","","Hepatocellular carcinoma"
"The over-editing at the COG3 I/V site plays a critical pro-tumoral role in GBM and correlates with a worse prognosis in GBM patients","A:I","ADARB1","Glioblastoma"
"The overexpressed YTHDF1, associated to DNA copy number gain, recognizes and promotes the translation of m6A-modified FZD9 and Wnt6 mRNAs, leading to an aberrant activation of Wnt/b-catenin signaling and ultimately affecting the tumorigenicity and stem cell-like activity in CRC. Epigenetic regulation by YTHDF1 plays an important role in cancer progression processes in CRC. In another study, it was demonstrated that YTHDF1 overexpression is promoted by c-Myc and is associated to CRC cells proliferation and chemoresistence.","A:m6A","YTHDF1","Colorectal cancer"
"The overexpression of FTO reduces m6A levels and increases NMDAR1 expression levels, NMDAR1, which could elevate oxidative stress and Ca2+. High expression of NMDAR1 will damage neurons and cause subsequent apoptotic death","A:m6A","FTO","Parkinson"
"The reduced editing at the R/G site of glutamate receptor subunits (GluRs) is likely to reduce post-synaptic excitatory responses to glutamate, thus duce post-synaptic excitatory responses to glutamate, thus limiting the progression of cell death.","A:I","ADARB1","Spinal Cord Injury"
"The two edited forms of BLCAP fail to inhibit STAT3 phosphorylation indicating that A-to-I RNA editing drive anti-tumorigenic BLCAP to a loss-of-function one which might facilitate the cervical cancer initiating and progressing events","A:I","ADARB1","Cervical cancer"
"TRM6/61 regulates the translation of a subset of mRNAs encoding proteins that play role in cancer.","A:m1A","Trmt6                      Trmt61A","Glioblastoma"
"Two over-editing sites (Q103R and K96R) of CDK13, modified by ADAR, are more abundant in HCC tumor tissues and are associated with poor prognosis of HCC patients","A:I","ADARB1","Hepatocellular carcinoma"
"Variants in PUS7 cause the loss of function on pseudouridylation of mRNAs and tRNAs that leads intellectual disabilities.","U:Y","PUS7","Intellectual disability"
"VIRMA is upregulated in HCC. VIRMA induced m6A methylation on the 3′ UTR of GATA3 pre-mRNA, leading to the separation of the RNA-binding protein HuR and the degradation of GATA3 pre-mRNA, leading to altered GATA3 expression and thereby facilitating the malignant phenotypes of hepatoma cells.","A:m6A","VIRMA","Hepatocellular carcinoma"
"WTAP is downregulated in brain AVM lesions compared with normal cerebral vessels. DSP is stabilized via WTAP-m6A-IGF2BPs- dependent manner and participated in the regulation of angiogenesis.","A:m6A","WTAP","Brain arteriovenous malformations (AVMs)"
"WTAP is significantly up-regulated in HCC and promotes liver cancer development. WTAP-guided m6A modification contributes to the progression of HCC via the HuR-ETS1-p21/p27 axis. ETS proto-oncogene 1 (ETS1) was identified as the downstream effector of WTAP. The m6A modification regulated by WTAP led to post-transcriptional suppression of ETS1, with the implication of Hu-Antigen R (HuR) as an RNA stabilizer. Then ETS1 was found to inhibit the progression of HCC and could rescue the phenotype induced by WTAP deficiency. Moreover, WTAP modulated the G2/M phase of HCC cells through a p21/p27-dependent pattern mediated by ETS1.","A:m6A","WTAP","Hepatocellular carcinoma"
"WTAP overexpression increases proliferation, migration, invasion and tumorigenicity of glioblastoma cells","A:m6A","WTAP","Glioblastoma"
"YTHDC2 is upregulated in colorectal cancer and it contributes to colon tumor metastasis by promoting translation of HIF-1α","A:m6A","YTHDC2","Colorectal cancer"
"YTHDF1 was found to be upregulated in HCC and to play an important role in regulating HCC cell cycle progression and metabolism.","A:m6A","YTHDF1","Hepatocellular carcinoma"
"YTHDF2 binds to m6A-containing mRNAs and regulates their localization and stability. YTHDF2 upregulation increases the proliferative abilities of pancreatic cells by enhancing Akt/GSK3b/CyclinD1 pathway and on the opposite side it represses the invasion and migration abilities (EMT) by supressing the YAP pathway","A:m6A","YTHDF2","Pancreatic cancer"
"YTHDF2 binds to m6A-containing mRNAs and regulates their localization and stability. YTHDF2 upregulation increases the proliferative abilities of pancreatic cells by enhancing Akt/GSK3b/CyclinD1 pathway and on the opposite side it represses the invasion and migration abilities (EMT) by supressing the YAP pathway","A:m6A","YTHDF2","Pancreatic cancer"
"YTHDF2 is overexpressed in AML","A:m6A","YTHDF2","Leukemia"
"YTHDF2 is the direct target of miR-493-3p and it is frequently upregulated in both PCa tissues and cell lines. Instead, miR-493-3p is downregulated. The overexpression of YTHDF2 and inhibition of miR-493-3p reduce m6A levels and increase the proliferation and migration of cancer cells","A:m6A","YTHDF2","Prostate cancer"
"YTHDF2 is upregulated in lung cancer tissues and it recognizes m6A sites on the 3′UTR of 6-phosphogluconate dehydrogenase(6PGD) and facilitates its translation, which advances the pentose phosphate pathway (PPP) flux , which is crucial for tumor growth.","A:m6A","YTHDF2","Non-small cell lung cancer"
"YTHDF2 overexpression in GC cells. Knockdown of YTHDF2 in MGC-803 cells inhibits cell proliferation and promotes apoptosis.","A:m6A","YTHDF2","Gastric cancer"
"YTHDF2 specifically expands human HSC numbers without skewing lineage fate. Essential role of YTHDF2 in regulating HSC self-renewal BY coupling the posttranscriptional m6A modification to the degradation of mRNAs encoding key transcription factors for self renewal (Tal1)","A:m6A","YTHDF2","Leukemia"
"YTHDF2 was specifically down-regulated by hypoxia in HCC cells, and that YTHDF2 may function as a tumor suppressor in HCC by negatively modulating the EGFR mRNA stability via its binding the m6A site in the EGFR 3’UTR of mRNA, which in turn impairs the MEK/ERK pathway and consequently impedes the cell proliferation and growth","A:m6A","YTHDF2","Hepatocellular carcinoma"
"~70% of tumor samples from endometrial cancer patients exhibited decreased m6A levels due to either decreased expression of METTL3 or loss of function mutation in METTL14 (R298P). This generates a reduction in m6A mRNA methylation levels and an enhancement in proliferation and tumorigenicity. Reductions in m6A methylation lead to decreased expression of the negative AKT regulator PHLPP2 and increased expression of the positive AKT regulator mTORC2. Increased AKT activation is one of the main mediators of increased proliferation in cells.","A:m6A","METTL14","Endometrial cancer"
"~70% of tumor samples from endometrial cancer patients exhibited decreased m6A levels due to either decreased expression of METTL3 or loss of function mutation in METTL14 (R298P). This generates a reduction in m6A mRNA methylation levels and an enhancement in proliferation and tumorigenicity. Reductions in m6A methylation lead to decreased expression of the negative AKT regulator PHLPP2 and increased expression of the positive AKT regulator mTORC2. Increased AKT activation is one of the main mediators of increased proliferation in cells.","A:m6A","METTL3","Endometrial cancer"
"Ψ modification in the CUG repeats induces structural stabilization, prevents MBNL1 binding, and rescues mis-splicing","U:Y","","Myotonic dystrophy type 2 (DM2)"
